DATE,GDP At Current Market Prices,Goods Producing Industries,Accommodation and Food Services,Construction,Utilities,Other Goods Industries,Services Producing Industries,Wholesale & Retail Trade,Transportation & Storage,Accommodation & Food Services,Information & Communications,Finance & Insurance,"Real Estate, Services, Support",Other Services Industries,  Ownership Of Dwellings,  Gross Value Added At Basic Prices,  Add: Taxes On Products
2013 2Q ,3.2,-5.6,-7.8,2.6,-0.8,3.2,6,-2.2,3.5,5.2,9.7,13.8,10.3,8.2,11,3.1,6.2
2013 1Q ,3,-7.4,-10,3.3,-4.3,6.8,5.7,1,0.7,7.6,9,12.4,8.3,5.1,13.6,2.5,11.2
2012 4Q ,4.9,2,0.8,5.9,6.7,-4.1,4.7,-3.3,8.2,4.2,9.1,7.9,7.5,9.3,14.1,4.4,14.1
2012 3Q ,2.3,1.9,-0.1,9.2,6.3,7.1,1.6,-5.3,9,6.6,8.9,2.2,3.6,3.7,15.2,2.2,2.9
2012 2Q ,7.3,7.9,7,14.4,1.9,5.5,6.5,2.1,9.1,10,12.3,9.1,8.7,5.6,16,7.3,7
2012 1Q ,5.4,4.1,2.1,14.2,4.4,-3.7,5.7,4.9,1.7,14.2,7.9,8.5,9.5,0.4,18,5.7,-0.7
2011 4Q ,5,0.7,-1.4,10.7,-0.1,7.4,5.8,11.4,-11.9,14.3,9.7,0.4,12.3,3.1,18.7,4.9,7.6
2011 3Q ,7.7,2.2,0.8,7.1,7.6,-5.1,9.4,16.4,-15.9,18.1,12.2,6.7,16.5,7.1,21.4,7.8,6.8
2011 2Q ,6.3,-1.4,-2.2,-2.2,13.1,-2.3,8.3,16.4,-12.2,22.2,10.1,2.8,11.5,8,20.7,6,11.7
2011 1Q ,11.1,6.5,8.6,-3.5,8.8,11.8,11.8,15.8,-9.2,23,11,5.6,12.5,25.2,18.8,10.6,20.6
2010 4Q ,12.4,5.1,8.6,-9.7,9.3,-3.6,14.9,14.4,10.3,26.2,13.3,5.7,17.4,25.8,17,12.1,16.8
2010 3Q ,12.6,4.8,6.2,-5.8,21.8,10.8,15.4,13.3,26.2,25.8,6.1,4.7,17.1,24.1,11.5,12.1,23.2
2010 2Q ,18.8,21.3,27.4,-0.4,15.4,13.6,17,18.1,22.9,23.2,7.6,6,21.4,20.9,8,17.8,37.2
2010 1Q ,20.2,30.2,39.7,1.1,26.6,-6.8,16.2,25.4,13.4,12.5,5,14.7,15.9,10.9,2,19.2,42.7
2009 4Q ,14.9,21.8,25,14,8.1,13.3,12.4,31,-5,0.6,4.3,23.9,4.4,4.3,-7.2,14.1,30
2009 3Q ,3.7,9.6,8.2,16.6,8.6,-1.5,1.9,11.1,-16.5,-7.2,9.3,2.9,-0.3,2.8,-2.9,3.9,0.3
2009 2Q ,-0.2,1.6,-3.8,31.4,-1.7,-4.7,-0.4,7.9,-20.2,-12.2,12.9,-0.2,-3,5.4,6.1,0.4,-10
2009 1Q ,-5.7,-11.1,-20.9,45.7,-9.9,-1.6,-3.2,-1.8,-17.3,-9.8,12.2,-5.5,-0.5,3.4,13.9,-4.7,-23.5
2008 4Q ,-7.6,-11.8,-21.9,50.1,9.6,-7.2,-6,-18,-6.5,2.5,9.8,-14.8,8.8,2.5,32.4,-6.5,-25.3
2008 3Q ,0.1,-4.9,-12.5,56.6,-3.7,-2.9,2.3,-7.2,-3.4,9.4,2,5.5,15,6.8,28.8,0.9,-12.7
2008 2Q ,2.2,-4.7,-12.2,54.8,14.2,-1.4,4.5,-6.3,6.6,12.7,1.1,7,18.5,3.6,25.1,2.3,-0.3
2008 1Q ,8.1,-2.3,-5.7,29.4,-9.7,-0.3,12,0.2,13.7,16,8.1,12.7,25.6,16.6,25,8,9.5
2007 4Q ,13.9,4,1,32.6,3.2,-6.4,15.5,10.2,17.1,12.6,6.3,25,26.6,6.5,18.8,12,56
2007 3Q ,17.3,6.3,4.8,24.4,-0.4,6.1,18.4,15.4,21.9,12.8,8.6,26.5,27.5,7.3,18,14.4,88
